name,type,rating,price,link,distance,lat,lng
奪愛Dazzle Indian cuisine,咖哩,4.6,$400-600,https://www.google.com/maps/place/%E5%A5%AA%E6%84%9BDazzle+Indian+cuisine/data=!4m7!3m6!1s0x3442abd5d860c63f:0xec805ae47f19526e!8m2!3d25.0330374!4d121.541852!16s%2Fg%2F1td07mn3!19sChIJP8Zg2NWrQjQRblIZf-RagOw?authuser=0&hl=zh-TW&rclk=1,216.0,25.0330374,121.541852
樂咖哩,咖哩,4.2,$1-200,https://www.google.com/maps/place/%E6%A8%82%E5%92%96%E5%93%A9/data=!4m7!3m6!1s0x3442abd302b6d6f5:0x4a09f86a2432948d!8m2!3d25.032827!4d121.545495!16s%2Fg%2F11c53rr1ht!19sChIJ9da2AtOrQjQRjZQyJGr4CUo?authuser=0&hl=zh-TW&rclk=1,187.0,25.032827,121.545495
鮨序すしじょ,壽司,4.7,"超過 $2,000",https://www.google.com/maps/place/%E9%AE%A8%E5%BA%8F%E3%81%99%E3%81%97%E3%81%98%E3%82%87/data=!4m7!3m6!1s0x3442abff46beee77:0x954474c50d356700!8m2!3d25.0368855!4d121.54676!16s%2Fg%2F11krg8y5by!19sChIJd-6-Rv-rQjQRAGc1DcV0RJU?authuser=0&hl=zh-TW&rclk=1,461.0,25.0368855,121.54676
林居sushi日本料理,壽司,4.7,$200-400,https://www.google.com/maps/place/%E6%9E%97%E5%B1%85sushi%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442abc32e0c3b21:0x26e73407a643bff4!8m2!3d25.0326533!4d121.5437987!16s%2Fg%2F11fpk7cf1l!19sChIJITsMLsOrQjQR9L9Dpgc05yY?authuser=0&hl=zh-TW&rclk=1,113.0,25.0326533,121.5437987
拾漁 仁愛店,壽司,4.4,"$1,600-1,800",https://www.google.com/maps/place/%E6%8B%BE%E6%BC%81+%E4%BB%81%E6%84%9B%E5%BA%97/data=!4m7!3m6!1s0x3442ab98e157ee0f:0xb6c5f4f893ea4f9b!8m2!3d25.0368041!4d121.5501434!16s%2Fg%2F11rst9tqyp!19sChIJD-5X4ZirQjQRm0_qk_j0xbY?authuser=0&hl=zh-TW&rclk=1,721.0,25.0368041,121.5501434
鮨佐樂,壽司,4.2,"超過 $2,000",https://www.google.com/maps/place/%E9%AE%A8%E4%BD%90%E6%A8%82/data=!4m7!3m6!1s0x3442abd22c091601:0x63a1176e8376f142!8m2!3d25.0356732!4d121.5458681!16s%2Fg%2F11b75k9hg5!19sChIJARYJLNKrQjQRQvF2g24XoWM?authuser=0&hl=zh-TW&rclk=1,300.0,25.0356732,121.5458681
爭鮮迴轉壽司-大安店,壽司,3.9,$200-400,https://www.google.com/maps/place/%E7%88%AD%E9%AE%AE%E8%BF%B4%E8%BD%89%E5%A3%BD%E5%8F%B8-%E5%A4%A7%E5%AE%89%E5%BA%97/data=!4m7!3m6!1s0x3442abd540467a8f:0xd46178548ba13379!8m2!3d25.0337221!4d121.5384194!16s%2Fg%2F11byyf20pb!19sChIJj3pGQNWrQjQReTOhi1R4YdQ?authuser=0&hl=zh-TW&rclk=1,551.0,25.0337221,121.5384194
匠樂割烹壽司,壽司,4.7,"超過 $2,000",https://www.google.com/maps/place/%E5%8C%A0%E6%A8%82%E5%89%B2%E7%83%B9%E5%A3%BD%E5%8F%B8/data=!4m7!3m6!1s0x3442abd23b28f251:0x1eaf04a3881e1598!8m2!3d25.0352194!4d121.5464704!16s%2Fg%2F11h1pps6j!19sChIJUfIoO9KrQjQRmBUeiKMErx4?authuser=0&hl=zh-TW&rclk=1,313.0,25.0352194,121.5464704
鮨馬 Sushi Uma Omakase,壽司,4.6,"超過 $2,000",https://www.google.com/maps/place/%E9%AE%A8%E9%A6%AC+Sushi+Uma+Omakase/data=!4m7!3m6!1s0x3442ab2a7aff726f:0xca25fd5ac8bca4ca!8m2!3d25.0368802!4d121.5470322!16s%2Fg%2F11yqvp9j6r!19sChIJb3L_eiqrQjQRyqS8yFr9Jco?authuser=0&hl=zh-TW&rclk=1,478.0,25.0368802,121.5470322
二本松涮涮屋 本館,火鍋,4.9,"超過 $2,000",https://www.google.com/maps/place/%E4%BA%8C%E6%9C%AC%E6%9D%BE%E6%B6%AE%E6%B6%AE%E5%B1%8B+%E6%9C%AC%E9%A4%A8/data=!4m7!3m6!1s0x3442aba271147663:0x4a6c25c475935367!8m2!3d25.0296552!4d121.5425364!16s%2Fg%2F11fqz7l1j8!19sChIJY3YUcaKrQjQRZ1OTdcQlbEo?authuser=0&hl=zh-TW&rclk=1,466.0,25.0296552,121.5425364
這一鍋 台北信義殿,火鍋,4.6,$$$,https://www.google.com/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E6%AE%BF/data=!4m7!3m6!1s0x3442abd262e7315f:0xbc44710e4a0020d8!8m2!3d25.0329859!4d121.5474232!16s%2Fg%2F11bcf2zr4g!19sChIJXzHnYtKrQjQR2CAASg5xRLw?authuser=0&hl=zh-TW&rclk=1,364.0,25.0329859,121.5474232
立馬吃一鍋。有機水產火鍋專賣 E.Ma Hot Pot 仁愛店,火鍋,4.9,$400-600,https://www.google.com/maps/place/%E7%AB%8B%E9%A6%AC%E5%90%83%E4%B8%80%E9%8D%8B%E3%80%82%E6%9C%89%E6%A9%9F%E6%B0%B4%E7%94%A2%E7%81%AB%E9%8D%8B%E5%B0%88%E8%B3%A3+E.Ma+Hot+Pot+%E4%BB%81%E6%84%9B%E5%BA%97/data=!4m7!3m6!1s0x3442ab5433134541:0xc7063bc0336f4682!8m2!3d25.0395623!4d121.5454145!16s%2Fg%2F11vcywj4g5!19sChIJQUUTM1SrQjQRgkZvM8A7Bsc?authuser=0&hl=zh-TW&rclk=1,674.0,25.0395623,121.5454145
