name,type,rating,price,link,distance,lat,lng
原味複式自助餐,自助餐,2.7,$1-200,https://www.google.com/maps/place/%E5%8E%9F%E5%91%B3%E8%A4%87%E5%BC%8F%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a973120dc34d:0x40f00ffa8aacb284!8m2!3d25.0445793!4d121.5162984!16s%2Fg%2F11xp3wg_f!19sChIJTcMNEnOpQjQRhLKsivoP8EA?authuser=0&hl=zh-TW&rclk=1,271,25.0445793,121.5162984
天津精緻自助餐,自助餐,2.6,$1-200,https://www.google.com/maps/place/%E5%A4%A9%E6%B4%A5%E7%B2%BE%E7%B7%BB%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a96ef8ab90cd:0xf41d1240596f1fbb!8m2!3d25.0495415!4d121.5224711!16s%2Fg%2F11b731kyft!19sChIJzZCr-G6pQjQRux9vWUASHfQ?authuser=0&hl=zh-TW&rclk=1,589,25.0495415,121.5224711
中山自助餐,自助餐,3.7,$1-200,https://www.google.com/maps/place/%E4%B8%AD%E5%B1%B1%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a96eed824f81:0x466b80c298436fbb!8m2!3d25.0504099!4d121.521486!16s%2Fg%2F11c6cf_xk2!19sChIJgU-C7W6pQjQRu29DmMKAa0Y?authuser=0&hl=zh-TW&rclk=1,571,25.0504099,121.521486
美味自助餐,自助餐,2.6,無資料,https://www.google.com/maps/place/%E7%BE%8E%E5%91%B3%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a97335230215:0x1be866d479455c8!8m2!3d25.044897!4d121.514252!16s%2Fg%2F11c1nd8j3m!19sChIJFQIjNXOpQjQRyFWUR22GvgE?authuser=0&hl=zh-TW&rclk=1,387,25.044897,121.514252
熊霸自助餐店,自助餐,2.8,$1-200,https://www.google.com/maps/place/%E7%86%8A%E9%9C%B8%E8%87%AA%E5%8A%A9%E9%A4%90%E5%BA%97/data=!4m7!3m6!1s0x3442a9394707dcf7:0x44ef92a9a84a8b6!8m2!3d25.0519498!4d121.514192!16s%2Fg%2F11pv44x7f8!19sChIJ99wHRzmpQjQRtqiEmir5TgQ?authuser=0&hl=zh-TW&rclk=1,666,25.0519498,121.514192
能量小姐 台北襄陽 直營門市,健康餐,4.2,$1-200,https://www.google.com/maps/place/%E8%83%BD%E9%87%8F%E5%B0%8F%E5%A7%90+%E5%8F%B0%E5%8C%97%E8%A5%84%E9%99%BD+%E7%9B%B4%E7%87%9F%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x3442a923cb5b5fcf:0x1e4f70e58d4a2ad0!8m2!3d25.043565!4d121.513625!16s%2Fg%2F11rd976sw1!19sChIJz19byyOpQjQR0CpKjeVwTx4?authuser=0&hl=zh-TW&rclk=1,527,25.043565,121.513625
SHA LA HE YO沙拉。健康餐盒,健康餐,4.8,$1-200,https://www.google.com/maps/place/SHA+LA+HE+YO%E6%B2%99%E6%8B%89%E3%80%82%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442a9c5e8ff9bc3:0x42ef9c24ed69fd9!8m2!3d25.0517639!4d121.514875!16s%2Fg%2F11q_7vzz62!19sChIJw5v_6MWpQjQR2Z_WTsL5LgQ?authuser=0&hl=zh-TW&rclk=1,616,25.0517639,121.514875
MR ENERGY 能量先生水煮餐盒 台北重慶,健康餐,4.1,$1-200,https://www.google.com/maps/place/MR+ENERGY+%E8%83%BD%E9%87%8F%E5%85%88%E7%94%9F%E6%B0%B4%E7%85%AE%E9%A4%90%E7%9B%92+%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6/data=!4m7!3m6!1s0x3442a984eaf8209f:0x7aaf0cc7f529b962!8m2!3d25.041934!4d121.513307!16s%2Fg%2F11ghxbpkng!19sChIJnyD46oSpQjQRYrkp9ccMr3o?authuser=0&hl=zh-TW&rclk=1,683,25.041934,121.513307
WILD MEAL 野飯甜蒸烤餐盒專売,健康餐,4.2,$1-200,https://www.google.com/maps/place/WILD+MEAL+%E9%87%8E%E9%A3%AF%E7%94%9C%E8%92%B8%E7%83%A4%E9%A4%90%E7%9B%92%E5%B0%88%E5%A3%B2/data=!4m7!3m6!1s0x3442a9dfb5b6ad53:0x61fb4cec3e3dbd1c!8m2!3d25.0451905!4d121.515243!16s%2Fg%2F11q7fvtt0y!19sChIJU622td-pQjQRHL09PuxM-2E?authuser=0&hl=zh-TW&rclk=1,286,25.0451905,121.515243
法伯纖盒,健康餐,4.4,$1-200,https://www.google.com/maps/place/%E6%B3%95%E4%BC%AF%E7%BA%96%E7%9B%92/data=!4m7!3m6!1s0x3442a9ce218cdf9f:0xf426c6d7744aae47!8m2!3d25.0446913!4d121.5127354!16s%2Fg%2F11m7426hcx!19sChIJn9-MIc6pQjQRR65KdNfGJvQ?authuser=0&hl=zh-TW&rclk=1,532,25.0446913,121.5127354
優妮兔 舒食餐盒,健康餐,4.4,$1-200,https://www.google.com/maps/place/%E5%84%AA%E5%A6%AE%E5%85%94+%E8%88%92%E9%A3%9F%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442a9fb3da37541:0x21a9ab18cfbd5bef!8m2!3d25.0453056!4d121.5252352!16s%2Fg%2F11wvcpdc7y!19sChIJQXWjPfupQjQR71u9zxirqSE?authuser=0&hl=zh-TW&rclk=1,796,25.0453056,121.5252352
強尼兄弟健康廚房 天津店,健康餐,4.7,$1-200,https://www.google.com/maps/place/%E5%BC%B7%E5%B0%BC%E5%85%84%E5%BC%9F%E5%81%A5%E5%BA%B7%E5%BB%9A%E6%88%BF+%E5%A4%A9%E6%B4%A5%E5%BA%97/data=!4m7!3m6!1s0x3442a9cfa391e3f5:0x15d6b97e49ec7f16!8m2!3d25.0498482!4d121.5230043!16s%2Fg%2F11ycc3pcfd!19sChIJ9eORo8-pQjQRFn_sSX651hU?authuser=0&hl=zh-TW&rclk=1,653,25.0498482,121.5230043
盒心肌群健康餐盒,健康餐,4.5,$1-200,https://www.google.com/maps/place/%E7%9B%92%E5%BF%83%E8%82%8C%E7%BE%A4%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442a937381fb183:0x4db209311f916dab!8m2!3d25.052361!4d121.5176159!16s%2Fg%2F11rdc87hy8!19sChIJg7EfODepQjQRq22RHzEJsk0?authuser=0&hl=zh-TW&rclk=1,623,25.052361,121.5176159
優卡輕食 You Can Fresh 南棟聯合辦公大樓員工餐廳,健康餐,4.8,$1-200,https://www.google.com/maps/place/%E5%84%AA%E5%8D%A1%E8%BC%95%E9%A3%9F+You+Can+Fresh+%E5%8D%97%E6%A3%9F%E8%81%AF%E5%90%88%E8%BE%A6%E5%85%AC%E5%A4%A7%E6%A8%93%E5%93%A1%E5%B7%A5%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a9914b333855:0xaad2bb16857d7a8e!8m2!3d25.0421252!4d121.5195042!16s%2Fg%2F11j5zl3wv6!19sChIJVTgzS5GpQjQRjnp9hRa70qo?authuser=0&hl=zh-TW&rclk=1,554,25.0421252,121.5195042
Homey 烘米餐廚-餐盒專賣,健康餐,4.6,$1-200,https://www.google.com/maps/place/Homey+%E7%83%98%E7%B1%B3%E9%A4%90%E5%BB%9A-%E9%A4%90%E7%9B%92%E5%B0%88%E8%B3%A3/data=!4m7!3m6!1s0x3442a9ba6d5af3df:0x99a316c07bf59e50!8m2!3d25.0497737!4d121.5197449!16s%2Fg%2F11sz3llm9_!19sChIJ3_NabbqpQjQRUJ71e8AWo5k?authuser=0&hl=zh-TW&rclk=1,405,25.0497737,121.5197449
GET POWER 給力盒子 北車店,健康餐,3.9,無資料,https://www.google.com/maps/place/GET+POWER+%E7%B5%A6%E5%8A%9B%E7%9B%92%E5%AD%90+%E5%8C%97%E8%BB%8A%E5%BA%97/data=!4m7!3m6!1s0x3442a9163eb9da75:0x845b86ccf2655713!8m2!3d25.0452933!4d121.5136644!16s%2Fg%2F11shrlq9z5!19sChIJddq5PhapQjQRE1dl8syGW4Q?authuser=0&hl=zh-TW&rclk=1,419,25.0452933,121.5136644
老公老婆餐盒｜北車店｜健康餐｜美食｜餐廳｜便當,健康餐,4.2,$1-200,https://www.google.com/maps/place/%E8%80%81%E5%85%AC%E8%80%81%E5%A9%86%E9%A4%90%E7%9B%92%EF%BD%9C%E5%8C%97%E8%BB%8A%E5%BA%97%EF%BD%9C%E5%81%A5%E5%BA%B7%E9%A4%90%EF%BD%9C%E7%BE%8E%E9%A3%9F%EF%BD%9C%E9%A4%90%E5%BB%B3%EF%BD%9C%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a9000354ab81:0x79faa46eea9131b4!8m2!3d25.0440773!4d121.5112057!16s%2Fg%2F11y2n630h4!19sChIJgatUAwCpQjQRtDGR6m6k-nk?authuser=0&hl=zh-TW&rclk=1,700,25.0440773,121.5112057
雞肉本家 有田店（雞肉飯專賣店/健康餐）,健康餐,4.3,$1-200,https://www.google.com/maps/place/%E9%9B%9E%E8%82%89%E6%9C%AC%E5%AE%B6+%E6%9C%89%E7%94%B0%E5%BA%97%EF%BC%88%E9%9B%9E%E8%82%89%E9%A3%AF%E5%B0%88%E8%B3%A3%E5%BA%97%2F%E5%81%A5%E5%BA%B7%E9%A4%90%EF%BC%89/data=!4m7!3m6!1s0x3442a9007f598d9d:0xd27948d1c6abd2be!8m2!3d25.0429683!4d121.5113287!16s%2Fg%2F11y58s40c2!19sChIJnY1ZfwCpQjQRvtKrxtFIedI?authuser=0&hl=zh-TW&rclk=1,751,25.0429683,121.5113287
村民餐盒,健康餐,3.2,無資料,https://www.google.com/maps/place/%E6%9D%91%E6%B0%91%E9%A4%90%E7%9B%92/data=!4m7!3m6!1s0x3442a90001470839:0x9a69d42eaf730bc7!8m2!3d25.0448126!4d121.5160065!16s%2Fg%2F11y3hn9w2r!19sChIJOQhHAQCpQjQRxwtzry7UaZo?authuser=0&hl=zh-TW&rclk=1,263,25.0448126,121.5160065
夏威魚hawaiipokebox台北車站店,健康餐,3.5,$1-200,https://www.google.com/maps/place/%E5%A4%8F%E5%A8%81%E9%AD%9Ahawaiipokebox%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97/data=!4m7!3m6!1s0x3442a9c3b6d3ed07:0xa633a9e36267d892!8m2!3d25.0450099!4d121.5170032!16s%2Fg%2F11t807b6f0!19sChIJB-3TtsOpQjQRkthnYuOpM6Y?authuser=0&hl=zh-TW&rclk=1,201,25.0450099,121.5170032
木麒麟拉麵,拉麵,4.9,$200-400,https://www.google.com/maps/place/%E6%9C%A8%E9%BA%92%E9%BA%9F%E6%8B%89%E9%BA%B5/data=!4m7!3m6!1s0x3442a90579536a0d:0x41e41f95a5e49d05!8m2!3d25.0514!4d121.5212637!16s%2Fg%2F11wjk94dyr!19sChIJDWpTeQWpQjQRBZ3kpZUf5EE?authuser=0&hl=zh-TW&rclk=1,641,25.0514,121.5212637
